,latitude,longitude,elevation
278,50.520025,-115.001289,1714.531006
279,50.512536,-114.995738,1700.459961
280,50.508781,-114.991144,1708.171997
281,50.5055,-114.989471,1707.062988
282,50.502005,-114.985767,1706.344971
283,50.500857,-114.985415,1696.074951
284,50.499053,-114.982506,1699.267944
285,50.496598,-114.979986,1693.796021
286,50.495996,-114.978693,1699.616943
287,50.493232,-114.977169,1688.194946
288,50.487542,-114.971866,1677.369019
289,50.48659,-114.969984,1682.427979
290,50.485061,-114.969405,1671.589966
291,50.479873,-114.964566,1660.614014
292,50.477181,-114.96349,1659.578003
293,50.476394,-114.960463,1657.756958
294,50.471992,-114.955968,1664.03894
295,50.467671,-114.954536,1656.43103
296,50.465702,-114.951571,1666.343018
297,50.462462,-114.952216,1657.844971
298,50.453805,-114.94641,1682.452026
299,50.453528,-114.945463,1688.020996
300,50.451801,-114.943909,1693.426025
301,50.450168,-114.9439,1688.311035
302,50.445786,-114.941151,1681.473999
303,50.444027,-114.938624,1687.707031
304,50.443011,-114.93823,1685.722046
305,50.441678,-114.936357,1697.166992
306,50.43874,-114.93631,1680.911987
307,50.404717,-114.921447,1600.458984
308,50.399129,-114.918247,1610.021973
309,50.392119,-114.920144,1570.406006
310,50.390397,-114.924839,1566.203979
311,50.389882,-114.925267,1566.541016
312,50.384271,-114.92504,1561.322998
313,50.381071,-114.92633,1558.874023
314,50.37916,-114.925953,1557.275024
315,50.374395,-114.922787,1555.404053
316,50.371728,-114.921843,1556.062012
317,50.368028,-114.919524,1550.053955
318,50.361496,-114.92162,1546.582031
319,50.355551,-114.920113,1533.338013
320,50.348058,-114.923583,1553.54895
321,50.344979,-114.923558,1548.765015
322,50.341461,-114.92438,1562.202026
323,50.326262,-114.919464,1559.125977
324,50.324273,-114.919426,1547.921021
325,50.316179,-114.916976,1515.214966
326,50.312507,-114.917999,1515.706055
327,50.309216,-114.922642,1502.55896
328,50.308322,-114.925434,1508.093018
329,50.308502,-114.930897,1508.160034
330,50.308107,-114.932819,1507.995972
331,50.306579,-114.935,1526.578003
332,50.302441,-114.937689,1536.628052
333,50.280187,-114.940181,1502.93396
334,50.265132,-114.941132,1449.156006
335,50.263583,-114.942737,1457.381958
336,50.260816,-114.947779,1467.854004
337,50.257822,-114.949709,1468.870972
338,50.255811,-114.953387,1473.853027
339,50.254505,-114.954771,1474.541992
340,50.246238,-114.957361,1447.493042
341,50.230562,-114.969302,1422.040039
342,50.219099,-114.972028,1410.677002
343,50.218305,-114.972675,1412.758057
344,50.215667,-114.977895,1420.449951
345,50.213645,-114.980157,1420.108032
346,50.198666,-114.986661,1424.439941
347,50.197063,-114.986856,1417.624023
348,50.185636,-114.982993,1397.264038
349,50.178115,-114.988303,1417.355957
350,50.176144,-114.989077,1420.706055
351,50.168622,-114.987648,1442.067993
352,50.165157,-114.98451,1428.41394
353,50.160839,-114.975787,1412.31604
354,50.152126,-114.964499,1395.438965
355,50.147719,-114.9596,1393.827026
356,50.139771,-114.955775,1395.338013
357,50.116037,-114.941956,1352.577026
358,50.111178,-114.942579,1351.607056
359,50.105436,-114.940949,1321.458984
360,50.098738,-114.94287,1336.490967
361,50.096459,-114.942924,1348.870972
362,50.092899,-114.941234,1319.645996
363,50.090804,-114.941093,1320.660034
364,50.08311,-114.938596,1313.857056
365,50.079489,-114.938579,1307.54895
366,50.075714,-114.93629,1299.192017
367,50.073712,-114.931699,1300.613037
368,50.070804,-114.926823,1302.839966
369,50.068845,-114.925127,1306.099976
370,50.06743,-114.921989,1279.0
371,50.066113,-114.92572,1310.0
372,50.066093,-114.926948,1319.0
373,50.064784,-114.930956,1341.0
374,50.062356,-114.934523,1377.0
375,50.060962,-114.938965,1387.0
376,50.06185,-114.945799,1399.0
377,50.063045,-114.949506,1436.0
378,50.068314,-114.95899,1480.0
379,50.068699,-114.964103,1495.0
380,50.071333,-114.97319,1540.0
381,50.071619,-114.9754,1560.0
382,50.073664,-114.979541,1597.0
383,50.073506,-114.98062,1599.0
384,50.074084,-114.98122,1602.0
385,50.074187,-114.983109,1603.0
386,50.07625,-114.986145,1653.0
387,50.076539,-114.987609,1667.0
388,50.078567,-114.989562,1665.0
389,50.080622,-114.98975,1726.0
390,50.082391,-114.991493,1758.0
391,50.083434,-114.994363,1798.0
392,50.083255,-114.995286,1802.0
393,50.083899,-114.996337,1834.0
394,50.084095,-114.998279,1852.0
395,50.083723,-114.999454,1885.0
396,50.084652,-115.001552,1890.0
397,50.084673,-115.003772,1914.0
398,50.08553,-115.006245,1917.0
399,50.086656,-115.007715,1940.0
400,50.087747,-115.01183,1952.0
401,50.086425,-115.016245,1990.0
402,50.08657,-115.017323,2002.0
403,50.085358,-115.019115,2032.0
404,50.084935,-115.023546,2038.0
405,50.085475,-115.025359,2049.0
406,50.085279,-115.032392,2028.0
407,50.086556,-115.037445,1992.0
408,50.08763,-115.038078,1991.0
409,50.087919,-115.039644,1987.0
410,50.09039,-115.044526,1944.0
411,50.091619,-115.044268,1930.0
412,50.094847,-115.051011,1890.0
413,50.095773,-115.055866,1841.0
414,50.096127,-115.06372,1786.0
415,50.095177,-115.065453,1737.0
416,50.095714,-115.066118,1740.0
417,50.095639,-115.068274,1707.0
418,50.096544,-115.072555,1691.0
419,50.097311,-115.073794,1691.0
420,50.097573,-115.076046,1674.0
421,50.099701,-115.078424,1682.0
422,50.099475,-115.081031,1655.0
423,50.100279,-115.08209,1657.0
424,50.100377,-115.085462,1653.0
425,50.101468,-115.091819,1609.0
426,50.10208,-115.092242,1597.0
427,50.098512,-115.095091,1576.0
428,50.091354,-115.094265,1567.0
429,50.089688,-115.093256,1561.0
430,50.080326,-115.092843,1592.0
431,50.07741,-115.093605,1577.0
432,50.07658,-115.093165,1589.0
433,50.074749,-115.093643,1571.0
434,50.073636,-115.093042,1553.0
435,50.070906,-115.09294,1588.0
436,50.070035,-115.093873,1549.0
437,50.063723,-115.094807,1517.0
438,50.062277,-115.094377,1513.0
439,50.059405,-115.095252,1553.0
440,50.055775,-115.099919,1504.0
441,50.054814,-115.099844,1547.0
442,50.050188,-115.10406,1490.0
443,50.048001,-115.104527,1512.0
444,50.042165,-115.108668,1545.0
445,50.036015,-115.114269,1564.0
446,50.032986,-115.115706,1486.0
447,50.026452,-115.116629,1426.0
448,50.020687,-115.11568,1472.0
449,50.017333,-115.116994,1460.0
450,50.013927,-115.116795,1472.0
451,50.008232,-115.118496,1474.0
452,50.003595,-115.122358,1451.0
453,49.983565,-115.134396,1413.0
454,49.980123,-115.137223,1473.0
455,49.979315,-115.138586,1443.0
456,49.972143,-115.142496,1402.0
457,49.966557,-115.144095,1395.0
458,49.965456,-115.142448,1393.0
