Long,Lat
-113.454728,47.270983
-113.450899,47.265424
-113.450799,47.263292
-113.446214,47.258008
-113.442106,47.251978
-113.439917,47.246574
-113.439901,47.240956
-113.438894,47.236369
-113.440678,47.23496
-113.441056,47.231834
-113.441779,47.230303
-113.441367,47.228354
-113.44166,47.224461
-113.452794,47.211752
-113.453822,47.209776
-113.457125,47.207909
-113.459022,47.205893
-113.459041,47.203801
-113.461461,47.199347
-113.462301,47.199215
-113.464432,47.194905
-113.464126,47.191165
-113.464907,47.18948
-113.458655,47.191605
-113.457424,47.193491
-113.455449,47.194218
-113.455018,47.193897
-113.455101,47.191924
-113.454219,47.188924
-113.452019,47.188566
-113.437014,47.189136
-113.435169,47.190379
-113.433537,47.190893
-113.424759,47.191243
-113.422599,47.187364
-113.420931,47.185715
-113.418872,47.185013
-113.413646,47.184969
-113.407396,47.183993
-113.406325,47.184182
-113.405046,47.185989
-113.403234,47.186205
-113.402165,47.184811
-113.401315,47.184637
-113.399137,47.185372
-113.395604,47.18462
-113.394163,47.184904
-113.392258,47.184385
-113.387787,47.181469
-113.386614,47.180243
-113.385193,47.179894
-113.382831,47.178442
-113.377275,47.176494
-113.37225,47.173645
-113.369173,47.173093
-113.366348,47.171011
-113.364501,47.171431
-113.360737,47.169803
-113.360155,47.169101
-113.358529,47.168415
-113.355092,47.168311
-113.349777,47.16661
-113.348855,47.164261
-113.347093,47.163753
-113.345845,47.161612
-113.338069,47.156562
-113.334124,47.155663
-113.332942,47.154453
-113.32723,47.152154
-113.325603,47.152222
-113.324058,47.152792
-113.322682,47.152472
-113.321353,47.151426
-113.317305,47.150838
-113.312151,47.148144
-113.311543,47.146398
-113.309596,47.144474
-113.305677,47.137783
-113.304588,47.136768
-113.303838,47.134986
-113.300735,47.132046
-113.298826,47.131733
-113.296234,47.131943
-113.28479,47.128044
-113.281594,47.128204
-113.276861,47.125569
-113.270013,47.122912
-113.263778,47.121806
-113.258437,47.12187
-113.252825,47.123018
-113.249822,47.122873
-113.245559,47.122035
-113.243783,47.122108
-113.241729,47.121395
-113.237284,47.121518
-113.235592,47.121934
-113.232519,47.121601
-113.230324,47.12066
-113.226439,47.119939
-113.22462,47.118712
-113.220309,47.117725
-113.210447,47.116328
-113.209139,47.11456
-113.209268,47.113061
-113.2077,47.112203
-113.205281,47.111714
-113.197443,47.111693
-113.19677,47.110914
-113.194296,47.110622
-113.190286,47.111235
-113.187687,47.11242
-113.186184,47.112634
-113.183932,47.114004
-113.180735,47.11409
-113.180084,47.115259
-113.178299,47.115434
-113.175032,47.117507
-113.1745,47.11845
-113.172895,47.119455
-113.170085,47.120279
-113.168084,47.121894
-113.162581,47.123999
-113.161245,47.124109
-113.15866,47.123273
-113.156286,47.123
-113.151852,47.124784
-113.148791,47.121498
-113.148009,47.119215
-113.146063,47.118079
-113.145836,47.117015
-113.147405,47.112858
-113.147502,47.110832
-113.149134,47.10648
-113.148368,47.105279
-113.149822,47.104126
-113.148737,47.098151
-113.148136,47.097732
-113.147308,47.094986
-113.145343,47.093746
-113.144136,47.091712
-113.144649,47.077812
-113.140324,47.075468
-113.136028,47.074149
-113.134684,47.072639
-113.13721,47.06929
-113.134039,47.066645
-113.132137,47.059828
-113.129994,47.057063
-113.130814,47.05267
-113.130145,47.048452
-113.133313,47.045421
-113.132092,47.042743
-113.133883,47.039887
-113.133999,47.020775
-113.131938,47.019589
-113.127271,47.019136
-113.127785,47.010007
-113.126368,47.005234
-113.107338,47.005286
-113.108367,46.998007
-113.107343,46.992027
-113.108702,46.990922
-113.107623,46.988463
-113.102587,46.985714
-113.101547,46.986036
-113.099327,46.990131
-113.096285,46.993067
-113.091233,46.995584
-113.090025,46.997273
-113.084939,46.99892
-113.081625,47.004853
-113.078593,47.008091
-113.067221,47.013412
-113.060828,47.009966
-113.059879,47.01066
-113.054877,47.011571
-113.050447,47.013305
-113.049183,47.01436
-113.047829,47.014724
-113.044703,47.014501
-113.04247,47.015153
-113.03274,47.021805
-113.029018,47.021889
-113.025489,47.020305
-112.945449,47.020046
-112.939532,47.026242
-112.934057,47.029098
-112.933054,47.030182
-112.923697,47.036373
-112.921394,47.039848
-112.922326,47.041224
-112.922341,47.049419
-112.912835,47.049486
-112.912524,47.056404
-112.901098,47.056663
-112.899935,47.056213
-112.898397,47.05682
-112.898082,47.05662
-112.900163,47.053843
-112.899434,47.053655
-112.897779,47.054775
-112.895067,47.055729
-112.88889,47.055655
-112.887244,47.053568
-112.886416,47.053442
-112.886588,47.053028
-112.891194,47.054068
-112.892981,47.052397
-112.889202,47.051296
-112.889786,47.050557
-112.893994,47.050009
-112.896037,47.049364
-112.896544,47.048068
-112.89443,47.049453
-112.887649,47.048777
